DATE,Weighted_Clusters.DS
18/11/2015,0.356731709
02/12/2015,0.357941673
16/12/2015,0.356219037
30/12/2015,0.36008489
13/01/2016,0.364452439
28/01/2016,0.366196513
10/02/2016,0.355357497
25/02/2016,0.397455524
08/03/2016,0.399110876
22/03/2016,0.377015264
03/04/2016,0.378891003
20/04/2016,0.370974789
03/05/2016,0.366950012
18/05/2016,0.35695796
31/05/2016,0.348014149
14/06/2016,0.352435618
28/06/2016,0.343226058
12/07/2016,0.343197575
26/07/2016,0.338862522
09/08/2016,0.340433861
22/08/2016,0.337436176
06/09/2016,0.340808426
23/09/2016,0.342555778
05/10/2016,0.337372656
18/10/2016,0.338434219
03/11/2016,0.346477492
