DATE,Weighted_Clusters.EV_unclear
18/11/2015,0.386563236
02/12/2015,0.396269155
16/12/2015,0.379754152
30/12/2015,0.371542726
13/01/2016,0.379410298
28/01/2016,0.377623859
10/02/2016,0.351235402
25/02/2016,0.392981181
08/03/2016,0.388016747
22/03/2016,0.376895319
03/04/2016,0.388967214
20/04/2016,0.393850087
03/05/2016,0.388375371
18/05/2016,0.385235951
31/05/2016,0.387840972
14/06/2016,0.387804669
28/06/2016,0.3801052
12/07/2016,0.378453192
26/07/2016,0.36808158
09/08/2016,0.374014536
22/08/2016,0.369590052
06/09/2016,0.378692316
23/09/2016,0.37843779
05/10/2016,0.370568112
18/10/2016,0.370780726
03/11/2016,0.394146691
